"DOCTORID","FIRSTNAME","LASTNAME","SPECIALTY","PHONE","DATEOFBIRTH","HIREDATE","SALARY","DISTANCEFROMHOSPITAL","DEPARTMENTID"
"65","Robert","Johnson","Surgery","0584116123","11/07/1964","19/02/2019","120399","77.9","11"
"66","Alice","Williams","Surgery","0542617061","27/09/1981","16/06/2003","119979","30.9","15"
"67","Jane","Taylor","Cardiology","0575313707","15/07/1966","25/08/2011","189900","84.67","9"
"68","Emily","Taylor","Neurology","0510417396","12/09/1962","11/10/2003","151142","25.24","8"
"69","David","Johnson","Cardiology","0584757260","07/01/2000","12/09/2018","57005","69.6","2"
"70","James","Wilson","Orthopedics","0559433720","16/04/2000","17/08/2019","73707","52.54","6"
"71","Robert","Jones","Oncology","0578156195","14/10/1988","23/10/2017","94448","71.47","8"
"72","David","Brown","Oncology","0512192444","21/08/1977","14/09/2014","126831","45.78","19"
"73","Robert","Wilson","Neurology","0517104491","12/01/1971","06/03/2011","112397","33.36","11"
"74","Michael","Johnson","Pediatrics","0541692609","08/11/1976","31/12/2011","138539","14.87","6"
"75","Alice","Taylor","Cardiology","0504944665","30/05/1965","08/08/1987","92549","13.42","1"
"76","John","Taylor","Surgery","0557124874","26/11/1963","12/03/1991","153090","59.96","7"
"77","Emily","Smith","Surgery","0572546970","30/03/1970","10/05/1998","92382","50.22","8"
"78","Sara","Moore","Oncology","0554486384","28/11/1965","28/02/2018","69504","60.14","3"
"79","Robert","Miller","Neurology","0537464298","02/02/1979","28/09/2002","59271","25.44","17"
"80","Robert","Moore","Cardiology","0584591079","17/04/1963","27/11/2011","68380","68.67","16"
"81","Michael","Taylor","Orthopedics","0556970877","20/10/1963","15/07/1985","181100","51.23","6"
"82","Jane","Davis","Orthopedics","0552670618","28/05/1976","19/09/2019","90773","73.78","3"
"83","Michael","Wilson","Pediatrics","0518754316","06/09/1985","23/01/2022","96908","93.05","15"
"84","Robert","Davis","Neurology","0515116751","30/06/1980","04/11/1998","64131","25.79","6"
"85","Michael","Davis","Orthopedics","0502339811","13/04/1982","09/09/2001","158428","65.17","4"
"86","Jane","Taylor","Orthopedics","0568727115","16/08/1995","08/11/2022","95659","18.65","8"
"87","John","Wilson","Orthopedics","0503033703","05/05/2000","23/12/2022","170187","12.87","3"
"88","John","Miller","Cardiology","0598474348","02/09/1999","11/11/2021","66708","46.86","12"
"89","Michael","Brown","Surgery","0568656771","26/12/1967","26/01/2003","127204","32.44","13"
"90","John","Smith","Neurology","0511895675","20/05/1998","12/03/2019","93333","4.8","2"
"91","Emily","Johnson","Orthopedics","0550749920","30/01/1993","13/05/2016","160264","92.37","14"
"92","James","Miller","Orthopedics","0507888177","07/12/1963","12/12/2004","198958","22.24","7"
"93","John","Miller","Oncology","0596279577","04/01/1980","17/11/2009","110232","50.56","16"
"94","Linda","Moore","Oncology","0524861196","09/10/1989","29/08/2008","85369","25.73","10"
"95","Michael","Johnson","Neurology","0518057974","31/10/1971","29/06/2007","94142","48.93","9"
"96","Linda","Johnson","Surgery","0584241566","15/04/1975","10/04/2010","129770","13.29","3"
"97","John","Brown","Surgery","0591208216","31/01/1965","20/03/2010","171404","32.44","13"
"98","Michael","Wilson","Orthopedics","0596721226","16/06/1991","10/12/2019","128124","42.22","15"
"99","Linda","Davis","Surgery","0535007289","15/03/1994","27/03/2022","131821","50.4","9"
"100","Emily","Smith","Surgery","0534074311","01/02/2000","17/11/2020","155114","52.81","10"
"101","David","Moore","Pediatrics","0567540152","12/01/1992","19/03/2014","55752","64.33","12"
"102","Emily","Taylor","Orthopedics","0562964339","11/07/1960","21/04/2003","86272","92.17","9"
"103","David","Jones","Pediatrics","0506264660","25/03/1966","03/10/2018","79646","53.16","6"
"104","Jane","Brown","Orthopedics","0558925399","15/06/1985","22/06/2003","173255","10.45","15"
"105","John","Davis","Cardiology","0571892047","18/07/1983","03/05/2018","60543","48.08","7"
"106","David","Moore","Pediatrics","0540876432","15/05/1997","02/03/2019","133884","35.73","12"
"107","James","Moore","Cardiology","0509032908","08/06/1993","17/08/2013","166425","66.25","12"
"108","Emily","Taylor","Surgery","0522845002","28/03/1978","31/05/2013","89582","64.52","4"
"109","John","Moore","Oncology","0522695088","15/06/1998","11/06/2020","135843","52.31","11"
"110","Linda","Miller","Surgery","0527869202","13/04/1989","15/02/2014","193752","7.28","18"
"111","Robert","Davis","Pediatrics","0557275466","30/01/1965","27/10/1996","188443","25.33","3"
"112","Michael","Brown","Oncology","0519159414","03/12/1980","14/01/2003","72147","14.21","6"
"113","Jane","Williams","Pediatrics","0515822454","09/10/1974","09/07/1995","109119","94.88","15"
"114","Emily","Davis","Orthopedics","0572481406","20/03/1981","27/02/2021","173937","85.18","10"
"115","David","Wilson","Neurology","0569869404","06/06/1999","07/07/2020","150359","87.49","20"
"116","John","Moore","Neurology","0597300188","13/07/1975","14/12/1996","130914","35.62","9"
"117","James","Smith","Pediatrics","0578060208","17/05/1963","28/07/1987","156828","19.44","18"
"118","Linda","Davis","Cardiology","0565597261","08/06/1966","27/11/1984","66045","43.27","19"
"119","Alice","Taylor","Cardiology","0508322290","15/03/1960","29/08/1978","157304","31.07","3"
"120","Robert","Davis","Pediatrics","0527681944","08/06/1987","16/09/2006","81552","12.56","12"
"121","John","Taylor","Oncology","0567588622","10/11/1986","08/09/2021","194907","23.54","8"
"122","Jane","Moore","Orthopedics","0551037715","23/12/1980","28/11/2020","197846","16.96","18"
"123","Alice","Smith","Orthopedics","0543150782","08/08/1967","30/08/2010","161108","95.83","19"
"124","Michael","Jones","Cardiology","0573071584","18/12/1997","01/10/2019","175716","43.49","2"
"125","Linda","Davis","Orthopedics","0503263418","13/01/1977","11/10/2000","139536","68.21","4"
"126","Jane","Jones","Oncology","0514580114","03/02/1981","20/11/2014","170953","25.72","6"
"127","Michael","Williams","Surgery","0570194404","18/12/1965","11/12/1987","108689","33.33","3"
"128","Emily","Brown","Oncology","0593520280","29/01/1970","21/06/2009","139646","31.25","12"
"129","Robert","Moore","Cardiology","0525404922","30/05/1977","03/04/2020","74048","91.67","13"
"130","David","Jones","Cardiology","0583543356","10/11/1992","26/12/2012","168383","46.08","17"
"131","Sara","Miller","Pediatrics","0522723453","26/11/1987","08/10/2016","118111","91.77","14"
"132","Emily","Smith","Surgery","0532875317","19/10/1983","05/05/2018","176432","20.95","5"
"133","Sara","Miller","Cardiology","0595576043","19/06/1974","29/06/1992","54992","93.18","16"
"134","David","Brown","Orthopedics","0515204029","02/12/1988","06/07/2017","158866","82.82","8"
"135","John","Williams","Oncology","0530176687","05/06/1975","29/09/2007","97784","89","18"
"136","Jane","Williams","Oncology","0576208818","01/10/1972","22/02/2001","82985","25.28","11"
"137","Robert","Brown","Cardiology","0559738707","02/06/1963","16/10/1991","69451","99.64","16"
"138","David","Jones","Surgery","0574835265","28/12/1997","07/08/2018","196991","17.34","7"
"139","Alice","Miller","Surgery","0544097477","21/06/1978","04/05/2000","199979","90.32","1"
"140","Sara","Taylor","Oncology","0556595762","10/04/1963","11/06/1994","164493","68.3","2"
"141","James","Miller","Surgery","0536080333","30/11/1974","30/03/2017","145993","52.05","14"
"142","Alice","Johnson","Cardiology","0512081344","18/05/1994","08/10/2019","101651","81.48","15"
"143","Linda","Miller","Orthopedics","0598733818","14/08/1996","01/09/2017","169780","67.93","10"
"144","Sara","Wilson","Cardiology","0580235632","24/02/1973","16/07/1996","162228","91.92","20"
"145","Alice","Wilson","Cardiology","0532346588","30/11/1976","07/06/2015","144986","72.47","8"
"146","Jane","Williams","Cardiology","0534715306","29/11/1988","19/10/2009","107505","63.17","17"
"147","David","Brown","Oncology","0533843363","21/08/1978","16/05/2017","75830","8.99","17"
"148","Emily","Davis","Orthopedics","0565192463","20/09/1987","10/12/2015","54253","96.4","2"
"149","Alice","Wilson","Oncology","0502486988","31/01/1989","28/05/2021","68248","7.41","4"
"150","David","Wilson","Surgery","0591428034","31/01/1986","15/08/2005","176314","38.61","19"
"151","John","Miller","Pediatrics","0553021884","17/06/1986","05/04/2020","61778","64.34","4"
"152","Linda","Brown","Surgery","0521163051","25/03/1977","11/02/2008","167260","66.44","7"
"153","Emily","Davis","Cardiology","0500563902","13/06/1996","25/03/2017","65564","50.14","19"
"154","Linda","Jones","Oncology","0544658053","08/06/1981","01/03/2006","71311","74.88","8"
"155","Emily","Smith","Oncology","0558761083","08/06/1995","04/10/2022","156981","85.33","10"
"156","James","Davis","Oncology","0514537343","21/05/1979","20/06/1998","106223","43.14","20"
"157","David","Jones","Surgery","0593208627","24/07/1968","18/12/1998","115465","49.9","15"
"158","John","Brown","Neurology","0530918051","20/01/1974","02/08/2015","164491","37.4","13"
"159","Alice","Wilson","Oncology","0540343798","15/11/1984","26/07/2018","196871","72.43","20"
"160","John","Moore","Oncology","0540339713","28/03/1997","22/03/2017","136760","18.35","11"
"161","Emily","Williams","Neurology","0548543230","13/10/1976","12/07/2016","174198","26.97","19"
"162","Robert","Davis","Surgery","0564812115","04/03/1980","16/06/2003","81053","66.87","5"
"163","Robert","Johnson","Oncology","0540527717","03/06/1982","25/10/2003","113268","63.95","3"
"164","John","Smith","Orthopedics","0597587836","24/03/1974","07/10/2019","192505","58.15","16"
"165","James","Taylor","Cardiology","0579836749","10/09/1995","06/11/2013","150731","10","20"
"166","David","Brown","Orthopedics","0537583646","11/01/1982","11/02/2016","158705","88.67","13"
"167","Jane","Jones","Orthopedics","0591489315","13/01/1988","01/04/2016","164961","50.27","6"
"168","David","Davis","Surgery","0553414176","17/02/1990","06/12/2015","75276","84.76","9"
"169","Linda","Miller","Surgery","0577905825","26/11/1998","01/11/2017","160438","59.44","9"
"170","Alice","Jones","Cardiology","0502340916","29/09/1970","22/10/2002","129080","7.53","12"
"171","Emily","Miller","Orthopedics","0523249227","11/08/1999","08/06/2020","153338","38.34","6"
"172","Emily","Williams","Pediatrics","0559714070","04/08/1964","02/08/1999","160690","77.07","13"
"173","David","Williams","Orthopedics","0521919928","05/01/1963","12/05/2009","188244","40.06","14"
"174","Alice","Smith","Cardiology","0508155966","03/10/1969","21/06/1995","157526","75.38","10"
"175","Linda","Davis","Pediatrics","0517891616","13/08/1960","24/08/1987","187299","89.49","15"
"176","David","Brown","Orthopedics","0571755541","27/03/2000","22/10/2022","137341","36.81","1"
"177","Jane","Williams","Neurology","0564203317","22/05/1986","03/06/2016","172622","72.02","3"
"178","John","Davis","Pediatrics","0536126982","03/12/1990","14/08/2010","127187","81.96","19"
"179","Alice","Williams","Surgery","0566518120","13/01/1963","22/09/2012","50191","40.28","17"
"180","David","Williams","Neurology","0569595700","02/11/1988","17/09/2016","101943","57.09","10"
"181","David","Miller","Cardiology","0501851375","17/10/1999","27/05/2020","111413","97.51","17"
"182","Alice","Brown","Pediatrics","0529629491","09/11/1964","12/03/1991","64876","19.1","6"
"183","Jane","Smith","Pediatrics","0595612091","26/01/1966","03/09/1999","146294","58.92","15"
"184","James","Jones","Orthopedics","0559375807","23/03/1960","08/01/2020","80469","54.13","15"
"185","Robert","Taylor","Neurology","0557481874","12/07/1984","03/01/2019","75913","51.8","16"
"186","Michael","Davis","Neurology","0574189583","02/11/1979","03/12/2012","166306","18.85","13"
"187","Sara","Miller","Cardiology","0556061319","16/12/1982","01/03/2004","151945","21.51","15"
"188","Jane","Johnson","Orthopedics","0535999833","25/12/1989","28/02/2018","115746","86.07","5"
"189","David","Jones","Neurology","0542270933","21/05/1994","16/06/2014","121756","36.4","1"
"190","Emily","Miller","Orthopedics","0595992308","14/09/1966","29/03/2007","76174","33.35","7"
"191","James","Brown","Oncology","0533994163","27/03/1966","07/08/2002","52989","12.25","2"
"192","James","Jones","Oncology","0593346471","17/06/1996","24/01/2017","57368","90.94","7"
"193","David","Taylor","Surgery","0504868822","29/10/1975","03/09/2011","171435","98.72","18"
"194","Emily","Jones","Pediatrics","0559050518","27/06/1975","25/10/2006","119219","22.46","7"
"195","Alice","Taylor","Neurology","0583164868","08/05/1962","24/09/1982","69871","61.71","18"
"196","Jane","Brown","Pediatrics","0533979678","16/08/1979","24/10/1998","144324","8.52","1"
"197","David","Davis","Neurology","0594550228","20/10/2000","14/11/2022","90526","72.01","4"
"198","Robert","Johnson","Oncology","0516919059","09/08/1985","11/03/2007","119780","84.51","7"
"199","David","Smith","Surgery","0540747042","02/03/1999","28/06/2022","128387","24.33","6"
"200","David","Wilson","Neurology","0518337419","21/11/1967","10/09/1987","84392","50.69","14"
"201","Jane","Williams","Orthopedics","0523040617","29/07/1991","22/05/2012","115788","82.27","10"
"202","David","Williams","Neurology","0529611829","01/08/1961","13/12/2019","179153","23.98","11"
"203","Robert","Jones","Pediatrics","0569966509","03/02/1971","30/04/1994","190990","85.8","6"
"204","Emily","Smith","Cardiology","0580124723","15/10/1972","14/11/1993","139411","21.87","4"
"205","Robert","Miller","Orthopedics","0577414501","19/01/1986","22/03/2007","87575","8.36","3"
"206","Linda","Miller","Pediatrics","0503814715","31/01/1990","05/08/2016","115798","24.74","8"
"207","David","Wilson","Surgery","0587606358","14/06/1990","03/06/2010","188128","30.1","16"
"208","John","Williams","Surgery","0521386473","08/06/1974","26/04/2003","130262","64.16","19"
"209","James","Smith","Surgery","0583579147","04/06/1977","18/03/2022","51546","83.75","20"
"210","Jane","Taylor","Cardiology","0595233456","30/04/1986","23/11/2005","182838","39.51","18"
"211","Emily","Davis","Surgery","0564145733","03/04/1975","14/03/1997","161125","75.37","6"
"212","David","Davis","Cardiology","0537128601","31/08/1995","07/08/2014","153552","26.58","19"
"213","Alice","Jones","Pediatrics","0567467708","03/12/1965","18/02/2009","109876","60.43","11"
"214","Alice","Johnson","Orthopedics","0532765197","07/11/1979","08/07/2013","83169","96.97","5"
"215","Jane","Miller","Oncology","0583476779","20/01/1991","10/11/2010","117479","88.39","2"
"216","John","Davis","Orthopedics","0587081557","22/12/1971","14/04/2002","67525","4.99","1"
"217","Jane","Brown","Orthopedics","0541817514","18/10/1979","23/01/2009","145871","90.74","11"
"218","Robert","Miller","Surgery","0552909536","28/03/1968","09/05/1996","95704","28.7","7"
"219","David","Davis","Neurology","0565272439","04/05/1973","03/06/2002","126118","31.8","7"
"220","Alice","Williams","Orthopedics","0529948134","03/03/1988","23/02/2022","180487","57.75","6"
"221","James","Williams","Cardiology","0595096507","07/04/1972","26/04/2018","91098","89.94","8"
"222","Linda","Miller","Surgery","0559326586","25/09/1988","07/01/2012","62633","42.62","11"
"223","Michael","Williams","Cardiology","0545699301","16/07/1989","12/10/2017","169954","41.94","1"
"224","Alice","Taylor","Cardiology","0571134974","03/10/1997","23/12/2016","139877","66.88","14"
"225","Michael","Davis","Oncology","0581768968","27/08/1990","02/10/2022","190248","93.25","15"
"226","James","Jones","Oncology","0501356445","22/09/1971","20/04/2006","54580","39.56","17"
"227","David","Miller","Oncology","0518049287","27/11/1962","16/08/1988","66023","27.19","7"
"228","David","Jones","Pediatrics","0522901744","04/04/1961","15/04/2004","69560","68.02","13"
"229","James","Davis","Oncology","0585688032","22/03/1979","21/11/2010","101774","15.08","5"
"230","John","Williams","Neurology","0580853485","24/07/1984","26/05/2009","183770","92.74","5"
"231","Linda","Davis","Oncology","0591576699","08/04/1960","17/12/1986","68279","36.89","18"
"232","Linda","Johnson","Orthopedics","0534033757","01/09/1988","25/04/2018","148754","65.73","10"
"233","Sara","Smith","Surgery","0597517335","27/12/1973","23/04/2009","141172","56.99","5"
"234","David","Williams","Cardiology","0587319910","28/09/1970","28/11/1992","87514","89.03","19"
"235","Jane","Smith","Surgery","0581106402","02/01/1973","04/07/2004","79028","82.16","14"
"236","Jane","Miller","Orthopedics","0584752489","19/09/1985","10/11/2013","66399","46.79","2"
"237","James","Johnson","Surgery","0510481715","19/11/1995","14/08/2015","88240","61.41","16"
"238","Emily","Wilson","Surgery","0587549403","23/11/1997","01/10/2017","180750","75.04","5"
"239","Alice","Moore","Cardiology","0535281738","29/01/1967","16/10/2016","84374","79.34","1"
"240","David","Jones","Pediatrics","0551990056","21/12/1978","24/09/2013","89351","75.24","19"
"241","Michael","Smith","Neurology","0510708889","21/12/1977","01/08/2004","133055","84.06","20"
"242","John","Johnson","Orthopedics","0566937769","03/01/1963","04/03/1984","180014","28.1","7"
"243","Michael","Brown","Surgery","0556869393","06/09/1966","12/09/2009","123715","21.41","18"
"244","Jane","Moore","Neurology","0589141052","28/07/1967","23/09/1997","60048","4.39","9"
"245","Alice","Taylor","Surgery","0534445252","12/11/1972","04/06/2003","171622","93.49","1"
"246","David","Taylor","Surgery","0523507455","08/11/1982","28/03/2015","159349","3.53","16"
"247","Emily","Smith","Cardiology","0504263006","15/03/1961","03/11/2004","112399","41.59","14"
"248","Sara","Smith","Orthopedics","0507167220","13/06/1970","10/05/2018","125881","54.14","10"
"249","Sara","Brown","Pediatrics","0500709211","29/04/1966","29/11/2021","146669","59.69","10"
"250","Alice","Miller","Oncology","0581049924","08/02/1984","20/02/2016","184824","72.95","12"
"251","John","Johnson","Cardiology","0579058410","19/10/1996","15/07/2015","104436","76.86","7"
"252","Alice","Wilson","Pediatrics","0533552080","12/11/1989","17/07/2017","134802","86","8"
"253","Linda","Smith","Oncology","0595116678","18/12/1966","30/01/2004","50235","60.75","10"
"254","Jane","Williams","Oncology","0593119401","21/05/1966","03/10/2019","196520","27.35","1"
"255","Sara","Brown","Pediatrics","0512320155","24/09/1998","04/12/2021","139721","6.57","20"
"256","Sara","Miller","Pediatrics","0534436834","05/10/1994","13/09/2021","74497","22.32","1"
"257","Robert","Jones","Surgery","0585586380","16/11/1986","13/02/2008","148149","5.29","13"
"258","David","Miller","Oncology","0567047762","25/09/1965","18/06/1991","136684","36.61","3"
"259","James","Brown","Oncology","0548364886","16/04/1984","15/10/2006","60284","46.58","13"
"260","Linda","Smith","Cardiology","0550088313","23/01/1984","28/03/2007","99942","85.17","6"
"261","Sara","Brown","Surgery","0521791116","05/06/1990","13/02/2012","59904","94.23","9"
"262","Alice","Moore","Pediatrics","0530872805","12/10/1966","21/08/1998","160856","74.27","15"
"263","Michael","Williams","Cardiology","0599884056","26/03/1963","25/11/2001","104476","59.79","17"
"264","Robert","Williams","Neurology","0503059497","03/05/1981","18/09/2001","69780","20.64","2"
"265","John","Wilson","Orthopedics","0502293834","23/07/2000","13/06/2020","124566","88.61","12"
"266","James","Taylor","Pediatrics","0502150211","13/08/1986","10/11/2008","195742","13.14","5"
"267","Alice","Brown","Cardiology","0594361506","26/09/1985","26/10/2019","148123","88.07","11"
"268","Jane","Jones","Surgery","0511162952","25/01/1992","11/09/2010","73434","72.66","12"
"269","Sara","Wilson","Neurology","0529753919","08/09/1990","22/05/2010","165928","90.45","2"
"270","James","Moore","Pediatrics","0565793555","27/02/1977","05/03/1997","134548","11.76","7"
"271","Michael","Davis","Cardiology","0509652313","19/06/2000","30/04/2019","163483","66.01","20"
"272","Sara","Johnson","Cardiology","0561540527","01/12/1975","05/10/2006","66633","43.55","3"
"273","Robert","Davis","Cardiology","0563802937","26/07/1986","06/05/2016","142100","29.94","4"
"274","Robert","Davis","Oncology","0524070414","17/11/1982","19/02/2018","52852","53.9","4"
"275","John","Smith","Pediatrics","0521427511","06/08/1983","13/08/2001","146153","43.68","5"
"276","Linda","Davis","Pediatrics","0538323885","13/08/1988","27/09/2012","68243","55.64","2"
"277","Robert","Smith","Oncology","0537237788","26/10/1978","13/06/2011","95305","19.85","4"
"278","Michael","Wilson","Orthopedics","0571484202","17/12/1971","16/12/2007","142261","7.08","6"
"279","Jane","Wilson","Neurology","0575198613","27/08/1976","01/09/2004","77209","73.82","16"
"280","Sara","Jones","Cardiology","0506036668","29/01/1976","26/10/2004","130608","56.23","7"
"281","Robert","Johnson","Neurology","0563155215","30/03/1992","02/02/2021","140242","73.36","12"
"282","James","Davis","Pediatrics","0532031834","08/12/1980","31/10/2000","57802","5.39","7"
"283","Linda","Moore","Surgery","0568863766","15/11/1998","13/04/2019","183110","75.47","2"
"284","James","Williams","Surgery","0542022670","15/10/1983","27/06/2016","104962","74.61","11"
"285","Michael","Williams","Pediatrics","0570987804","26/02/1995","15/07/2013","115446","15.56","4"
"286","Linda","Brown","Neurology","0555359028","09/02/1985","21/12/2006","95704","32.76","3"
"287","John","Moore","Neurology","0558208146","21/08/1991","11/08/2014","186786","30.73","7"
"288","Jane","Brown","Oncology","0552721521","19/09/1984","25/09/2007","152934","16.96","10"
"289","Robert","Smith","Orthopedics","0530017222","04/05/1985","11/09/2012","80404","54.96","6"
"290","Robert","Taylor","Surgery","0501772725","27/04/1962","01/12/1980","192001","92.65","14"
"291","Linda","Smith","Neurology","0517860627","04/12/1990","13/11/2010","149140","14.83","4"
"292","Emily","Taylor","Neurology","0524162080","09/08/1972","23/05/1998","52000","68.21","7"
"293","James","Moore","Cardiology","0506809741","11/03/1976","05/07/2008","174552","95.38","4"
"294","Alice","Williams","Orthopedics","0558111497","13/10/1980","12/06/2022","198429","59.98","1"
"295","Sara","Davis","Neurology","0587509138","05/11/1964","18/09/1987","107585","81.46","15"
"296","Robert","Williams","Oncology","0590005129","05/05/1977","19/05/2021","169223","52.75","17"
"297","Michael","Johnson","Surgery","0500944288","18/06/1984","05/10/2004","59243","19.97","14"
"298","James","Miller","Orthopedics","0573108209","07/05/1961","18/11/2010","181696","28.96","11"
"299","David","Taylor","Cardiology","0563027003","12/01/1962","08/11/1994","144245","58.3","19"
"300","Linda","Brown","Pediatrics","0597717797","24/05/1960","03/01/2014","80239","34.68","12"
"301","Sara","Taylor","Pediatrics","0519539657","06/01/1998","08/09/2019","122375","93.01","8"
"302","Robert","Brown","Oncology","0544346746","14/12/1990","05/02/2016","77407","9.82","18"
"303","Jane","Moore","Oncology","0580490608","22/04/2000","13/12/2021","146841","28.08","6"
"304","Emily","Johnson","Neurology","0520169219","14/02/1963","30/06/1985","51108","84.69","18"
