DoctorID,FirstName,LastName,Specialty,Phone,DateOfBirth,HireDate,Salary,DistanceFromHospital,DepartmentID
52,Jane,Davis,Surgery,0585693105,1965-01-05,2020-07-12,102255,78.24,8
53,Robert,Davis,Pediatrics,0544147534,1960-01-15,1999-12-19,100459,80.27,2
54,Jane,Smith,Oncology,0550504168,1985-12-04,2014-12-13,85365,95.32,17
55,James,Wilson,Neurology,0598850241,1968-08-06,1998-10-29,115347,75.51,17
56,John,Moore,Neurology,0583115752,1986-08-27,2010-01-21,144104,46.56,17
57,Michael,Taylor,Neurology,0572324035,1971-11-04,2015-12-01,154121,44.87,6
58,John,Wilson,Cardiology,0553801834,1964-09-16,2012-11-15,182129,36.31,16
59,Emily,Taylor,Pediatrics,0501447892,1982-08-28,2015-08-09,68496,32.1,11
60,Sara,Taylor,Neurology,0544413410,1993-09-09,2012-01-06,157547,24.21,1
61,David,Taylor,Surgery,0524014046,1970-04-18,1998-07-04,177704,90.66,8
62,John,Davis,Cardiology,0582900621,1996-08-24,2015-04-14,63296,67.98,10
63,James,Davis,Oncology,0504717410,1993-09-08,2020-07-14,156683,91.18,11
64,James,Taylor,Oncology,0581831096,1964-08-02,2010-05-12,57122,96.17,20
65,Robert,Johnson,Surgery,0584116123,1964-07-11,2019-02-19,120399,77.9,11
66,Alice,Williams,Surgery,0542617061,1981-09-27,2003-06-16,119979,30.9,15
67,Jane,Taylor,Cardiology,0575313707,1966-07-15,2011-08-25,189900,84.67,9
68,Emily,Taylor,Neurology,0510417396,1962-09-12,2003-10-11,151142,25.24,8
69,David,Johnson,Cardiology,0584757260,2000-01-07,2018-09-12,57005,69.6,2
70,James,Wilson,Orthopedics,0559433720,2000-04-16,2019-08-17,73707,52.54,6
71,Robert,Jones,Oncology,0578156195,1988-10-14,2017-10-23,94448,71.47,8
72,David,Brown,Oncology,0512192444,1977-08-21,2014-09-14,126831,45.78,19
73,Robert,Wilson,Neurology,0517104491,1971-01-12,2011-03-06,112397,33.36,11
74,Michael,Johnson,Pediatrics,0541692609,1976-11-08,2011-12-31,138539,14.87,6
75,Alice,Taylor,Cardiology,0504944665,1965-05-30,1987-08-08,92549,13.42,1
76,John,Taylor,Surgery,0557124874,1963-11-26,1991-03-12,153090,59.96,7
77,Emily,Smith,Surgery,0572546970,1970-03-30,1998-05-10,92382,50.22,8
78,Sara,Moore,Oncology,0554486384,1965-11-28,2018-02-28,69504,60.14,3
79,Robert,Miller,Neurology,0537464298,1979-02-02,2002-09-28,59271,25.44,17
80,Robert,Moore,Cardiology,0584591079,1963-04-17,2011-11-27,68380,68.67,16
81,Michael,Taylor,Orthopedics,0556970877,1963-10-20,1985-07-15,181100,51.23,6
82,Jane,Davis,Orthopedics,0552670618,1976-05-28,2019-09-19,90773,73.78,3
83,Michael,Wilson,Pediatrics,0518754316,1985-09-06,2022-01-23,96908,93.05,15
84,Robert,Davis,Neurology,0515116751,1980-06-30,1998-11-04,64131,25.79,6
85,Michael,Davis,Orthopedics,0502339811,1982-04-13,2001-09-09,158428,65.17,4
86,Jane,Taylor,Orthopedics,0568727115,1995-08-16,2022-11-08,95659,18.65,8
87,John,Wilson,Orthopedics,0503033703,2000-05-05,2022-12-23,170187,12.87,3
88,John,Miller,Cardiology,0598474348,1999-09-02,2021-11-11,66708,46.86,12
89,Michael,Brown,Surgery,0568656771,1967-12-26,2003-01-26,127204,32.44,13
90,John,Smith,Neurology,0511895675,1998-05-20,2019-03-12,93333,4.8,2
91,Emily,Johnson,Orthopedics,0550749920,1993-01-30,2016-05-13,160264,92.37,14
92,James,Miller,Orthopedics,0507888177,1963-12-07,2004-12-12,198958,22.24,7
93,John,Miller,Oncology,0596279577,1980-01-04,2009-11-17,110232,50.56,16
94,Linda,Moore,Oncology,0524861196,1989-10-09,2008-08-29,85369,25.73,10
95,Michael,Johnson,Neurology,0518057974,1971-10-31,2007-06-29,94142,48.93,9
96,Linda,Johnson,Surgery,0584241566,1975-04-15,2010-04-10,129770,13.29,3
97,John,Brown,Surgery,0591208216,1965-01-31,2010-03-20,171404,32.44,13
98,Michael,Wilson,Orthopedics,0596721226,1991-06-16,2019-12-10,128124,42.22,15
99,Linda,Davis,Surgery,0535007289,1994-03-15,2022-03-27,131821,50.4,9
100,Emily,Smith,Surgery,0534074311,2000-02-01,2020-11-17,155114,52.81,10
101,David,Moore,Pediatrics,0567540152,1992-01-12,2014-03-19,55752,64.33,12
102,Emily,Taylor,Orthopedics,0562964339,1960-07-11,2003-04-21,86272,92.17,9
103,David,Jones,Pediatrics,0506264660,1966-03-25,2018-10-03,79646,53.16,6
104,Jane,Brown,Orthopedics,0558925399,1985-06-15,2003-06-22,173255,10.45,15
105,John,Davis,Cardiology,0571892047,1983-07-18,2018-05-03,60543,48.08,7
106,David,Moore,Pediatrics,0540876432,1997-05-15,2019-03-02,133884,35.73,12
107,James,Moore,Cardiology,0509032908,1993-06-08,2013-08-17,166425,66.25,12
108,Emily,Taylor,Surgery,0522845002,1978-03-28,2013-05-31,89582,64.52,4
109,John,Moore,Oncology,0522695088,1998-06-15,2020-06-11,135843,52.31,11
110,Linda,Miller,Surgery,0527869202,1989-04-13,2014-02-15,193752,7.28,18
111,Robert,Davis,Pediatrics,0557275466,1965-01-30,1996-10-27,188443,25.33,3
112,Michael,Brown,Oncology,0519159414,1980-12-03,2003-01-14,72147,14.21,6
113,Jane,Williams,Pediatrics,0515822454,1974-10-09,1995-07-09,109119,94.88,15
114,Emily,Davis,Orthopedics,0572481406,1981-03-20,2021-02-27,173937,85.18,10
115,David,Wilson,Neurology,0569869404,1999-06-06,2020-07-07,150359,87.49,20
116,John,Moore,Neurology,0597300188,1975-07-13,1996-12-14,130914,35.62,9
117,James,Smith,Pediatrics,0578060208,1963-05-17,1987-07-28,156828,19.44,18
118,Linda,Davis,Cardiology,0565597261,1966-06-08,1984-11-27,66045,43.27,19
119,Alice,Taylor,Cardiology,0508322290,1960-03-15,1978-08-29,157304,31.07,3
120,Robert,Davis,Pediatrics,0527681944,1987-06-08,2006-09-16,81552,12.56,12
121,John,Taylor,Oncology,0567588622,1986-11-10,2021-09-08,194907,23.54,8
122,Jane,Moore,Orthopedics,0551037715,1980-12-23,2020-11-28,197846,16.96,18
123,Alice,Smith,Orthopedics,0543150782,1967-08-08,2010-08-30,161108,95.83,19
124,Michael,Jones,Cardiology,0573071584,1997-12-18,2019-10-01,175716,43.49,2
125,Linda,Davis,Orthopedics,0503263418,1977-01-13,2000-10-11,139536,68.21,4
126,Jane,Jones,Oncology,0514580114,1981-02-03,2014-11-20,170953,25.72,6
127,Michael,Williams,Surgery,0570194404,1965-12-18,1987-12-11,108689,33.33,3
128,Emily,Brown,Oncology,0593520280,1970-01-29,2009-06-21,139646,31.25,12
129,Robert,Moore,Cardiology,0525404922,1977-05-30,2020-04-03,74048,91.67,13
130,David,Jones,Cardiology,0583543356,1992-11-10,2012-12-26,168383,46.08,17
131,Sara,Miller,Pediatrics,0522723453,1987-11-26,2016-10-08,118111,91.77,14
132,Emily,Smith,Surgery,0532875317,1983-10-19,2018-05-05,176432,20.95,5
133,Sara,Miller,Cardiology,0595576043,1974-06-19,1992-06-29,54992,93.18,16
134,David,Brown,Orthopedics,0515204029,1988-12-02,2017-07-06,158866,82.82,8
135,John,Williams,Oncology,0530176687,1975-06-05,2007-09-29,97784,89.0,18
136,Jane,Williams,Oncology,0576208818,1972-10-01,2001-02-22,82985,25.28,11
137,Robert,Brown,Cardiology,0559738707,1963-06-02,1991-10-16,69451,99.64,16
138,David,Jones,Surgery,0574835265,1997-12-28,2018-08-07,196991,17.34,7
139,Alice,Miller,Surgery,0544097477,1978-06-21,2000-05-04,199979,90.32,1
140,Sara,Taylor,Oncology,0556595762,1963-04-10,1994-06-11,164493,68.3,2
141,James,Miller,Surgery,0536080333,1974-11-30,2017-03-30,145993,52.05,14
142,Alice,Johnson,Cardiology,0512081344,1994-05-18,2019-10-08,101651,81.48,15
143,Linda,Miller,Orthopedics,0598733818,1996-08-14,2017-09-01,169780,67.93,10
144,Sara,Wilson,Cardiology,0580235632,1973-02-24,1996-07-16,162228,91.92,20
145,Alice,Wilson,Cardiology,0532346588,1976-11-30,2015-06-07,144986,72.47,8
146,Jane,Williams,Cardiology,0534715306,1988-11-29,2009-10-19,107505,63.17,17
147,David,Brown,Oncology,0533843363,1978-08-21,2017-05-16,75830,8.99,17
148,Emily,Davis,Orthopedics,0565192463,1987-09-20,2015-12-10,54253,96.4,2
149,Alice,Wilson,Oncology,0502486988,1989-01-31,2021-05-28,68248,7.41,4
150,David,Wilson,Surgery,0591428034,1986-01-31,2005-08-15,176314,38.61,19
151,John,Miller,Pediatrics,0553021884,1986-06-17,2020-04-05,61778,64.34,4
152,Linda,Brown,Surgery,0521163051,1977-03-25,2008-02-11,167260,66.44,7
153,Emily,Davis,Cardiology,0500563902,1996-06-13,2017-03-25,65564,50.14,19
154,Linda,Jones,Oncology,0544658053,1981-06-08,2006-03-01,71311,74.88,8
155,Emily,Smith,Oncology,0558761083,1995-06-08,2022-10-04,156981,85.33,10
156,James,Davis,Oncology,0514537343,1979-05-21,1998-06-20,106223,43.14,20
157,David,Jones,Surgery,0593208627,1968-07-24,1998-12-18,115465,49.9,15
158,John,Brown,Neurology,0530918051,1974-01-20,2015-08-02,164491,37.4,13
159,Alice,Wilson,Oncology,0540343798,1984-11-15,2018-07-26,196871,72.43,20
160,John,Moore,Oncology,0540339713,1997-03-28,2017-03-22,136760,18.35,11
161,Emily,Williams,Neurology,0548543230,1976-10-13,2016-07-12,174198,26.97,19
162,Robert,Davis,Surgery,0564812115,1980-03-04,2003-06-16,81053,66.87,5
163,Robert,Johnson,Oncology,0540527717,1982-06-03,2003-10-25,113268,63.95,3
164,John,Smith,Orthopedics,0597587836,1974-03-24,2019-10-07,192505,58.15,16
165,James,Taylor,Cardiology,0579836749,1995-09-10,2013-11-06,150731,10.0,20
166,David,Brown,Orthopedics,0537583646,1982-01-11,2016-02-11,158705,88.67,13
167,Jane,Jones,Orthopedics,0591489315,1988-01-13,2016-04-01,164961,50.27,6
168,David,Davis,Surgery,0553414176,1990-02-17,2015-12-06,75276,84.76,9
169,Linda,Miller,Surgery,0577905825,1998-11-26,2017-11-01,160438,59.44,9
170,Alice,Jones,Cardiology,0502340916,1970-09-29,2002-10-22,129080,7.53,12
171,Emily,Miller,Orthopedics,0523249227,1999-08-11,2020-06-08,153338,38.34,6
172,Emily,Williams,Pediatrics,0559714070,1964-08-04,1999-08-02,160690,77.07,13
173,David,Williams,Orthopedics,0521919928,1963-01-05,2009-05-12,188244,40.06,14
174,Alice,Smith,Cardiology,0508155966,1969-10-03,1995-06-21,157526,75.38,10
175,Linda,Davis,Pediatrics,0517891616,1960-08-13,1987-08-24,187299,89.49,15
176,David,Brown,Orthopedics,0571755541,2000-03-27,2022-10-22,137341,36.81,1
177,Jane,Williams,Neurology,0564203317,1986-05-22,2016-06-03,172622,72.02,3
178,John,Davis,Pediatrics,0536126982,1990-12-03,2010-08-14,127187,81.96,19
179,Alice,Williams,Surgery,0566518120,1963-01-13,2012-09-22,50191,40.28,17
180,David,Williams,Neurology,0569595700,1988-11-02,2016-09-17,101943,57.09,10
181,David,Miller,Cardiology,0501851375,1999-10-17,2020-05-27,111413,97.51,17
182,Alice,Brown,Pediatrics,0529629491,1964-11-09,1991-03-12,64876,19.1,6
183,Jane,Smith,Pediatrics,0595612091,1966-01-26,1999-09-03,146294,58.92,15
184,James,Jones,Orthopedics,0559375807,1960-03-23,2020-01-08,80469,54.13,15
185,Robert,Taylor,Neurology,0557481874,1984-07-12,2019-01-03,75913,51.8,16
186,Michael,Davis,Neurology,0574189583,1979-11-02,2012-12-03,166306,18.85,13
187,Sara,Miller,Cardiology,0556061319,1982-12-16,2004-03-01,151945,21.51,15
188,Jane,Johnson,Orthopedics,0535999833,1989-12-25,2018-02-28,115746,86.07,5
189,David,Jones,Neurology,0542270933,1994-05-21,2014-06-16,121756,36.4,1
190,Emily,Miller,Orthopedics,0595992308,1966-09-14,2007-03-29,76174,33.35,7
191,James,Brown,Oncology,0533994163,1966-03-27,2002-08-07,52989,12.25,2
192,James,Jones,Oncology,0593346471,1996-06-17,2017-01-24,57368,90.94,7
193,David,Taylor,Surgery,0504868822,1975-10-29,2011-09-03,171435,98.72,18
194,Emily,Jones,Pediatrics,0559050518,1975-06-27,2006-10-25,119219,22.46,7
195,Alice,Taylor,Neurology,0583164868,1962-05-08,1982-09-24,69871,61.71,18
196,Jane,Brown,Pediatrics,0533979678,1979-08-16,1998-10-24,144324,8.52,1
197,David,Davis,Neurology,0594550228,2000-10-20,2022-11-14,90526,72.01,4
198,Robert,Johnson,Oncology,0516919059,1985-08-09,2007-03-11,119780,84.51,7
199,David,Smith,Surgery,0540747042,1999-03-02,2022-06-28,128387,24.33,6
200,David,Wilson,Neurology,0518337419,1967-11-21,1987-09-10,84392,50.69,14
201,Jane,Williams,Orthopedics,0523040617,1991-07-29,2012-05-22,115788,82.27,10
202,David,Williams,Neurology,0529611829,1961-08-01,2019-12-13,179153,23.98,11
203,Robert,Jones,Pediatrics,0569966509,1971-02-03,1994-04-30,190990,85.8,6
204,Emily,Smith,Cardiology,0580124723,1972-10-15,1993-11-14,139411,21.87,4
205,Robert,Miller,Orthopedics,0577414501,1986-01-19,2007-03-22,87575,8.36,3
206,Linda,Miller,Pediatrics,0503814715,1990-01-31,2016-08-05,115798,24.74,8
207,David,Wilson,Surgery,0587606358,1990-06-14,2010-06-03,188128,30.1,16
208,John,Williams,Surgery,0521386473,1974-06-08,2003-04-26,130262,64.16,19
209,James,Smith,Surgery,0583579147,1977-06-04,2022-03-18,51546,83.75,20
210,Jane,Taylor,Cardiology,0595233456,1986-04-30,2005-11-23,182838,39.51,18
211,Emily,Davis,Surgery,0564145733,1975-04-03,1997-03-14,161125,75.37,6
212,David,Davis,Cardiology,0537128601,1995-08-31,2014-08-07,153552,26.58,19
213,Alice,Jones,Pediatrics,0567467708,1965-12-03,2009-02-18,109876,60.43,11
214,Alice,Johnson,Orthopedics,0532765197,1979-11-07,2013-07-08,83169,96.97,5
215,Jane,Miller,Oncology,0583476779,1991-01-20,2010-11-10,117479,88.39,2
216,John,Davis,Orthopedics,0587081557,1971-12-22,2002-04-14,67525,4.99,1
217,Jane,Brown,Orthopedics,0541817514,1979-10-18,2009-01-23,145871,90.74,11
218,Robert,Miller,Surgery,0552909536,1968-03-28,1996-05-09,95704,28.7,7
219,David,Davis,Neurology,0565272439,1973-05-04,2002-06-03,126118,31.8,7
220,Alice,Williams,Orthopedics,0529948134,1988-03-03,2022-02-23,180487,57.75,6
221,James,Williams,Cardiology,0595096507,1972-04-07,2018-04-26,91098,89.94,8
222,Linda,Miller,Surgery,0559326586,1988-09-25,2012-01-07,62633,42.62,11
223,Michael,Williams,Cardiology,0545699301,1989-07-16,2017-10-12,169954,41.94,1
224,Alice,Taylor,Cardiology,0571134974,1997-10-03,2016-12-23,139877,66.88,14
225,Michael,Davis,Oncology,0581768968,1990-08-27,2022-10-02,190248,93.25,15
226,James,Jones,Oncology,0501356445,1971-09-22,2006-04-20,54580,39.56,17
227,David,Miller,Oncology,0518049287,1962-11-27,1988-08-16,66023,27.19,7
228,David,Jones,Pediatrics,0522901744,1961-04-04,2004-04-15,69560,68.02,13
229,James,Davis,Oncology,0585688032,1979-03-22,2010-11-21,101774,15.08,5
230,John,Williams,Neurology,0580853485,1984-07-24,2009-05-26,183770,92.74,5
231,Linda,Davis,Oncology,0591576699,1960-04-08,1986-12-17,68279,36.89,18
232,Linda,Johnson,Orthopedics,0534033757,1988-09-01,2018-04-25,148754,65.73,10
233,Sara,Smith,Surgery,0597517335,1973-12-27,2009-04-23,141172,56.99,5
234,David,Williams,Cardiology,0587319910,1970-09-28,1992-11-28,87514,89.03,19
235,Jane,Smith,Surgery,0581106402,1973-01-02,2004-07-04,79028,82.16,14
236,Jane,Miller,Orthopedics,0584752489,1985-09-19,2013-11-10,66399,46.79,2
237,James,Johnson,Surgery,0510481715,1995-11-19,2015-08-14,88240,61.41,16
238,Emily,Wilson,Surgery,0587549403,1997-11-23,2017-10-01,180750,75.04,5
239,Alice,Moore,Cardiology,0535281738,1967-01-29,2016-10-16,84374,79.34,1
240,David,Jones,Pediatrics,0551990056,1978-12-21,2013-09-24,89351,75.24,19
241,Michael,Smith,Neurology,0510708889,1977-12-21,2004-08-01,133055,84.06,20
242,John,Johnson,Orthopedics,0566937769,1963-01-03,1984-03-04,180014,28.1,7
243,Michael,Brown,Surgery,0556869393,1966-09-06,2009-09-12,123715,21.41,18
244,Jane,Moore,Neurology,0589141052,1967-07-28,1997-09-23,60048,4.39,9
245,Alice,Taylor,Surgery,0534445252,1972-11-12,2003-06-04,171622,93.49,1
246,David,Taylor,Surgery,0523507455,1982-11-08,2015-03-28,159349,3.53,16
247,Emily,Smith,Cardiology,0504263006,1961-03-15,2004-11-03,112399,41.59,14
248,Sara,Smith,Orthopedics,0507167220,1970-06-13,2018-05-10,125881,54.14,10
249,Sara,Brown,Pediatrics,0500709211,1966-04-29,2021-11-29,146669,59.69,10
250,Alice,Miller,Oncology,0581049924,1984-02-08,2016-02-20,184824,72.95,12
251,John,Johnson,Cardiology,0579058410,1996-10-19,2015-07-15,104436,76.86,7
252,Alice,Wilson,Pediatrics,0533552080,1989-11-12,2017-07-17,134802,86.0,8
253,Linda,Smith,Oncology,0595116678,1966-12-18,2004-01-30,50235,60.75,10
254,Jane,Williams,Oncology,0593119401,1966-05-21,2019-10-03,196520,27.35,1
255,Sara,Brown,Pediatrics,0512320155,1998-09-24,2021-12-04,139721,6.57,20
256,Sara,Miller,Pediatrics,0534436834,1994-10-05,2021-09-13,74497,22.32,1
257,Robert,Jones,Surgery,0585586380,1986-11-16,2008-02-13,148149,5.29,13
258,David,Miller,Oncology,0567047762,1965-09-25,1991-06-18,136684,36.61,3
259,James,Brown,Oncology,0548364886,1984-04-16,2006-10-15,60284,46.58,13
260,Linda,Smith,Cardiology,0550088313,1984-01-23,2007-03-28,99942,85.17,6
261,Sara,Brown,Surgery,0521791116,1990-06-05,2012-02-13,59904,94.23,9
262,Alice,Moore,Pediatrics,0530872805,1966-10-12,1998-08-21,160856,74.27,15
263,Michael,Williams,Cardiology,0599884056,1963-03-26,2001-11-25,104476,59.79,17
264,Robert,Williams,Neurology,0503059497,1981-05-03,2001-09-18,69780,20.64,2
265,John,Wilson,Orthopedics,0502293834,2000-07-23,2020-06-13,124566,88.61,12
266,James,Taylor,Pediatrics,0502150211,1986-08-13,2008-11-10,195742,13.14,5
267,Alice,Brown,Cardiology,0594361506,1985-09-26,2019-10-26,148123,88.07,11
268,Jane,Jones,Surgery,0511162952,1992-01-25,2010-09-11,73434,72.66,12
269,Sara,Wilson,Neurology,0529753919,1990-09-08,2010-05-22,165928,90.45,2
270,James,Moore,Pediatrics,0565793555,1977-02-27,1997-03-05,134548,11.76,7
271,Michael,Davis,Cardiology,0509652313,2000-06-19,2019-04-30,163483,66.01,20
272,Sara,Johnson,Cardiology,0561540527,1975-12-01,2006-10-05,66633,43.55,3
273,Robert,Davis,Cardiology,0563802937,1986-07-26,2016-05-06,142100,29.94,4
274,Robert,Davis,Oncology,0524070414,1982-11-17,2018-02-19,52852,53.9,4
275,John,Smith,Pediatrics,0521427511,1983-08-06,2001-08-13,146153,43.68,5
276,Linda,Davis,Pediatrics,0538323885,1988-08-13,2012-09-27,68243,55.64,2
277,Robert,Smith,Oncology,0537237788,1978-10-26,2011-06-13,95305,19.85,4
278,Michael,Wilson,Orthopedics,0571484202,1971-12-17,2007-12-16,142261,7.08,6
279,Jane,Wilson,Neurology,0575198613,1976-08-27,2004-09-01,77209,73.82,16
280,Sara,Jones,Cardiology,0506036668,1976-01-29,2004-10-26,130608,56.23,7
281,Robert,Johnson,Neurology,0563155215,1992-03-30,2021-02-02,140242,73.36,12
282,James,Davis,Pediatrics,0532031834,1980-12-08,2000-10-31,57802,5.39,7
283,Linda,Moore,Surgery,0568863766,1998-11-15,2019-04-13,183110,75.47,2
284,James,Williams,Surgery,0542022670,1983-10-15,2016-06-27,104962,74.61,11
285,Michael,Williams,Pediatrics,0570987804,1995-02-26,2013-07-15,115446,15.56,4
286,Linda,Brown,Neurology,0555359028,1985-02-09,2006-12-21,95704,32.76,3
287,John,Moore,Neurology,0558208146,1991-08-21,2014-08-11,186786,30.73,7
288,Jane,Brown,Oncology,0552721521,1984-09-19,2007-09-25,152934,16.96,10
289,Robert,Smith,Orthopedics,0530017222,1985-05-04,2012-09-11,80404,54.96,6
290,Robert,Taylor,Surgery,0501772725,1962-04-27,1980-12-01,192001,92.65,14
291,Linda,Smith,Neurology,0517860627,1990-12-04,2010-11-13,149140,14.83,4
292,Emily,Taylor,Neurology,0524162080,1972-08-09,1998-05-23,52000,68.21,7
293,James,Moore,Cardiology,0506809741,1976-03-11,2008-07-05,174552,95.38,4
294,Alice,Williams,Orthopedics,0558111497,1980-10-13,2022-06-12,198429,59.98,1
295,Sara,Davis,Neurology,0587509138,1964-11-05,1987-09-18,107585,81.46,15
296,Robert,Williams,Oncology,0590005129,1977-05-05,2021-05-19,169223,52.75,17
297,Michael,Johnson,Surgery,0500944288,1984-06-18,2004-10-05,59243,19.97,14
298,James,Miller,Orthopedics,0573108209,1961-05-07,2010-11-18,181696,28.96,11
299,David,Taylor,Cardiology,0563027003,1962-01-12,1994-11-08,144245,58.3,19
300,Linda,Brown,Pediatrics,0597717797,1960-05-24,2014-01-03,80239,34.68,12
301,Sara,Taylor,Pediatrics,0519539657,1998-01-06,2019-09-08,122375,93.01,8
302,Robert,Brown,Oncology,0544346746,1990-12-14,2016-02-05,77407,9.82,18
303,Jane,Moore,Oncology,0580490608,2000-04-22,2021-12-13,146841,28.08,6
304,Emily,Johnson,Neurology,0520169219,1963-02-14,1985-06-30,51108,84.69,18
305,Linda,Brown,Oncology,0589454892,1984-10-01,2010-06-04,133161,63.81,9
306,Linda,Taylor,Cardiology,0593223115,2000-11-05,2020-06-02,64661,62.09,9
307,Emily,Moore,Surgery,0549130064,1988-06-08,2009-09-21,57312,8.9,1
308,Emily,Wilson,Oncology,0568549829,1995-09-21,2021-08-14,58617,33.07,10
309,David,Brown,Neurology,0559747690,1967-10-24,1997-11-25,60099,28.35,6
310,Emily,Taylor,Surgery,0597051191,1978-08-31,2018-12-17,157965,75.15,15
311,Linda,Moore,Cardiology,0558189412,1996-08-24,2015-11-06,180397,86.17,15
312,Sara,Smith,Oncology,0524168260,1994-08-08,2015-06-09,164213,72.87,20
313,Robert,Smith,Cardiology,0503032975,2000-01-25,2020-02-18,67537,86.0,6
314,James,Wilson,Cardiology,0547739090,1962-02-27,2003-07-07,64473,97.56,1
315,Sara,Smith,Oncology,0509130625,1993-12-10,2020-03-16,121452,94.5,10
316,John,Brown,Orthopedics,0560904515,1978-04-10,2015-10-12,172664,70.24,18
317,Alice,Brown,Cardiology,0528544802,1968-02-08,2006-03-04,177433,51.95,11
318,David,Johnson,Oncology,0582286230,1992-05-30,2013-06-29,116841,71.71,4
319,David,Moore,Orthopedics,0564031064,1998-10-02,2016-11-27,137156,15.57,20
